Date,Percent
1/1/2023,6.40
2/1/2023,6.00
3/1/2023,5.00
4/1/2023,4.90
5/1/2023,4.00
6/1/2023,3.00
7/1/2023,3.20
8/1/2023,
9/1/2023,
10/1/2023,
11/1/2023,
12/1/2023,
1/1/2022,7.50
2/1/2022,7.90
3/1/2022,8.50
4/1/2022,8.30
5/1/2022,8.60
6/1/2022,9.10
7/1/2022,8.50
8/1/2022,8.30
9/1/2022,8.20
10/1/2022,7.70
11/1/2022,7.10
12/1/2022,6.50
1/1/2021,1.40
2/1/2021,1.70
3/1/2021,2.60
4/1/2021,4.20
5/1/2021,5.00
6/1/2021,5.40
7/1/2021,5.40
8/1/2021,5.30
9/1/2021,5.40
10/1/2021,6.20
11/1/2021,6.80
12/1/2021,7.00
1/1/2020,2.50
2/1/2020,2.30
3/1/2020,1.50
4/1/2020,0.30
5/1/2020,0.10
6/1/2020,0.60
7/1/2020,1.00
8/1/2020,1.30
9/1/2020,1.40
10/1/2020,1.20
11/1/2020,1.20
12/1/2020,1.40
1/1/2019,1.60
2/1/2019,1.50
3/1/2019,1.90
4/1/2019,2.00
5/1/2019,1.80
6/1/2019,1.60
7/1/2019,1.80
8/1/2019,1.70
9/1/2019,1.70
10/1/2019,1.80
11/1/2019,2.10
12/1/2019,2.30
1/1/2018,2.10
2/1/2018,2.20
3/1/2018,2.40
4/1/2018,2.50
5/1/2018,2.80
6/1/2018,2.90
7/1/2018,2.90
8/1/2018,2.70
9/1/2018,2.30
10/1/2018,2.50
11/1/2018,2.20
12/1/2018,1.90
1/1/2017,2.50
2/1/2017,2.70
3/1/2017,2.40
4/1/2017,2.20
5/1/2017,1.90
6/1/2017,1.60
7/1/2017,1.70
8/1/2017,1.90
9/1/2017,2.20
10/1/2017,2.00
11/1/2017,2.20
12/1/2017,2.10
1/1/2016,1.40
2/1/2016,1.00
3/1/2016,0.90
4/1/2016,1.10
5/1/2016,1.00
6/1/2016,1.00
7/1/2016,0.80
8/1/2016,1.10
9/1/2016,1.50
10/1/2016,1.60
11/1/2016,1.70
12/1/2016,2.10
1/1/2015,-0.10
2/1/2015,0.00
3/1/2015,-0.10
4/1/2015,-0.20
5/1/2015,0.00
6/1/2015,0.10
7/1/2015,0.20
8/1/2015,0.20
9/1/2015,0.00
10/1/2015,0.20
11/1/2015,0.50
12/1/2015,0.70
1/1/2014,1.60
2/1/2014,1.10
3/1/2014,1.50
4/1/2014,2.00
5/1/2014,2.10
6/1/2014,2.10
7/1/2014,2.00
8/1/2014,1.70
9/1/2014,1.70
10/1/2014,1.70
11/1/2014,1.30
12/1/2014,0.80
1/1/2013,1.60
2/1/2013,2.00
3/1/2013,1.50
4/1/2013,1.10
5/1/2013,1.40
6/1/2013,1.80
7/1/2013,2.00
8/1/2013,1.50
9/1/2013,1.20
10/1/2013,1.00
11/1/2013,1.20
12/1/2013,1.50
1/1/2012,2.90
2/1/2012,2.90
3/1/2012,2.70
4/1/2012,2.30
5/1/2012,1.70
6/1/2012,1.70
7/1/2012,1.40
8/1/2012,1.70
9/1/2012,2.00
10/1/2012,2.20
11/1/2012,1.80
12/1/2012,1.70
1/1/2011,1.60
2/1/2011,2.10
3/1/2011,2.70
4/1/2011,3.20
5/1/2011,3.60
6/1/2011,3.60
7/1/2011,3.60
8/1/2011,3.80
9/1/2011,3.90
10/1/2011,3.50
11/1/2011,3.40
12/1/2011,3.00
1/1/2010,2.60
2/1/2010,2.10
3/1/2010,2.30
4/1/2010,2.20
5/1/2010,2.00
6/1/2010,1.10
7/1/2010,1.20
8/1/2010,1.10
9/1/2010,1.10
10/1/2010,1.20
11/1/2010,1.10
12/1/2010,1.50
1/1/2009,0.00
2/1/2009,0.20
3/1/2009,-0.40
4/1/2009,-0.70
5/1/2009,-1.30
6/1/2009,-1.40
7/1/2009,-2.10
8/1/2009,-1.50
9/1/2009,-1.30
10/1/2009,-0.20
11/1/2009,1.80
12/1/2009,2.70
1/1/2008,4.30
2/1/2008,4.00
3/1/2008,4.00
4/1/2008,3.90
5/1/2008,4.20
6/1/2008,5.00
7/1/2008,5.60
8/1/2008,5.40
9/1/2008,4.90
10/1/2008,3.70
11/1/2008,1.10
12/1/2008,0.10
1/1/2007,2.10
2/1/2007,2.40
3/1/2007,2.80
4/1/2007,2.60
5/1/2007,2.70
6/1/2007,2.70
7/1/2007,2.40
8/1/2007,2.00
9/1/2007,2.80
10/1/2007,3.50
11/1/2007,4.30
12/1/2007,4.10
1/1/2006,4.00
2/1/2006,3.60
3/1/2006,3.40
4/1/2006,3.50
5/1/2006,4.20
6/1/2006,4.30
7/1/2006,4.10
8/1/2006,3.80
9/1/2006,2.10
10/1/2006,1.30
11/1/2006,2.00
12/1/2006,2.50
1/1/2005,3.00
2/1/2005,3.00
3/1/2005,3.10
4/1/2005,3.50
5/1/2005,2.80
6/1/2005,2.50
7/1/2005,3.20
8/1/2005,3.60
9/1/2005,4.70
10/1/2005,4.30
11/1/2005,3.50
12/1/2005,3.40
1/1/2004,1.90
2/1/2004,1.70
3/1/2004,1.70
4/1/2004,2.30
5/1/2004,3.10
6/1/2004,3.30
7/1/2004,3.00
8/1/2004,2.70
9/1/2004,2.50
10/1/2004,3.20
11/1/2004,3.50
12/1/2004,3.30
1/1/2003,2.60
2/1/2003,3.00
3/1/2003,3.00
4/1/2003,2.20
5/1/2003,2.10
6/1/2003,2.10
7/1/2003,2.10
8/1/2003,2.20
9/1/2003,2.30
10/1/2003,2.00
11/1/2003,1.80
12/1/2003,1.90
1/1/2002,1.10
2/1/2002,1.10
3/1/2002,1.50
4/1/2002,1.60
5/1/2002,1.20
6/1/2002,1.10
7/1/2002,1.50
8/1/2002,1.80
9/1/2002,1.50
10/1/2002,2.00
11/1/2002,2.20
12/1/2002,2.40
1/1/2001,3.70
2/1/2001,3.50
3/1/2001,2.90
4/1/2001,3.30
5/1/2001,3.60
6/1/2001,3.20
7/1/2001,2.70
8/1/2001,2.70
9/1/2001,2.60
10/1/2001,2.10
11/1/2001,1.90
12/1/2001,1.60
1/1/2000,2.70
2/1/2000,3.20
3/1/2000,3.80
4/1/2000,3.10
5/1/2000,3.20
6/1/2000,3.70
7/1/2000,3.70
8/1/2000,3.40
